"src_ip","dst_ip","src_node","dst_node","flow_size","bytes_sent","bytes_left","avg_rate","curr_rate","arrive_time","install_time","end_time","remove_time","update_time","duration","status","resend","reroute"
"10.0.0.194","10.0.0.186","s12","s13",5361109.0,5361109.0,0.0,45734595.620043926,50000000.0,0.015980580225327258,0.02598058022532726,0.13320276022532723,1.1332027602253272,1.1332027602253272,0.11722217999999998,"removed",0,0
"10.0.1.58","10.0.1.163","s30","s24",6404459.0,6404459.0,0.0,46379151.50194969,50000000.0,0.008029706704574192,0.018029706704574194,0.14611888670457418,1.1461188867045742,1.1461188867045742,0.13808917999999998,"removed",0,0
"10.0.0.71","10.0.0.250","s1","s17",6649455.0,6649455.0,0.0,46503229.96647997,50000000.0,0.003965768868240537,0.013965768868240538,0.14695486886824052,1.1469548688682405,1.1469548688682405,0.14298909999999998,"removed",0,0
"10.0.1.145","10.0.0.68","s27","s1",5480561.0,5480561.0,0.0,45819790.15012137,50000000.0,0.03595377817568773,0.04595377817568772,0.15556499817568772,1.1555649981756877,1.1555649981756877,0.11961121999999999,"removed",0,0
"10.0.1.169","10.0.0.218","s24","s11",6882003.0,6882003.0,0.0,46613385.283099994,50000000.0,0.023906576278774235,0.033906576278774234,0.17154663627877423,1.1715466362787743,1.1715466362787743,0.14764006,"removed",0,0
"10.0.0.50","10.0.1.40","s2","s14",8336095.0,8336095.0,0.0,47170695.878665864,50000000.0,0.0,0.01,0.1767219,1.1767219,1.1767219,0.1767219,"removed",0,0
"10.0.0.201","10.0.0.9","s12","s9",7474613.0,7474613.0,0.0,46865051.63322659,50000000.0,0.028282746781893582,0.03828274678189358,0.18777500678189357,1.1877750067818935,1.1877750067818935,0.15949226,"removed",0,0
"10.0.1.90","10.0.1.150","s23","s27",7084488.0,7084488.0,0.0,46703798.59523807,50000000.0,0.04397159856217509,0.05397159856217509,0.1956613585621751,1.1956613585621751,1.1956613585621751,0.15168976,"removed",0,0
"10.0.1.118","10.0.0.85","s21","s7",7719154.0,7719154.0,0.0,46958324.42122389,50000000.0,0.03199397300315021,0.041993973003150206,0.19637705300315023,1.1963770530031503,1.1963770530031503,0.16438308000000001,"removed",0,0
"10.0.0.182","10.0.0.162","s13","s18",6498692.0,6498692.0,0.0,46427903.956910804,50000000.0,0.06355129342808125,0.07355129342808125,0.20352513342808126,1.2035251334280812,1.2035251334280812,0.13997384000000002,"removed",0,0
"10.0.0.120","10.0.1.103","s5","s20",5217667.0,5217667.0,0.0,45627587.26592506,50000000.0,0.09509655108482695,0.10509655108482696,0.20944989108482698,1.209449891084827,1.209449891084827,0.11435334000000003,"removed",0,0
"10.0.0.164","10.0.1.198","s18","s28",9072337.0,9072337.0,0.0,47388307.57838968,50000000.0,0.019781360366052218,0.02978136036605222,0.21122810036605225,1.2112281003660523,1.2112281003660523,0.19144674000000003,"removed",0,0
"10.0.0.104","10.0.0.168","s6","s18",6132998.0,6132998.0,0.0,46230965.24377061,50000000.0,0.07943004172727969,0.0894300417272797,0.2120900017272797,1.2120900017272798,1.2120900017272798,0.13265996000000002,"removed",0,0
"10.0.1.198","10.0.0.105","s28","s6",6967476.0,6967476.0,0.0,46652148.597464524,50000000.0,0.06735034754460983,0.07735034754460984,0.21669986754460985,1.21669986754461,1.21669986754461,0.14934952,"removed",0,0
"10.0.0.196","10.0.1.200","s12","s28",5253776.0,5253776.0,0.0,45655027.23776526,50000000.0,0.10330534957971277,0.11330534957971278,0.21838086957971276,1.2183808695797127,1.2183808695797127,0.11507551999999999,"removed",0,0
"10.0.0.198","10.0.0.148","s12","s19",8194272.0,8194272.0,0.0,47124543.607561395,50000000.0,0.04758976533692697,0.05758976533692697,0.22147520533692697,1.2214752053369269,1.2214752053369269,0.17388544,"removed",0,0
"10.0.1.89","10.0.1.9","s23","s16",5873531.0,5873531.0,0.0,46077527.511829786,50000000.0,0.09941895356620312,0.10941895356620313,0.22688957356620312,1.226889573566203,1.226889573566203,0.12747062,"removed",0,0
"10.0.0.26","10.0.1.122","s8","s21",6491072.0,6491072.0,0.0,46424010.50940399,50000000.0,0.0873418543007937,0.09734185430079371,0.22716329430079374,1.2271632943007937,1.2271632943007937,0.13982144000000002,"removed",0,0
"10.0.1.3","10.0.1.135","s16","s26",6472439.0,6472439.0,0.0,46414454.10996065,50000000.0,0.09123337955088029,0.1012333795508803,0.2306821595508803,1.2306821595508803,1.2306821595508803,0.13944878000000002,"removed",0,0
"10.0.1.135","10.0.0.226","s26","s10",5552990.0,5552990.0,0.0,45869809.79648074,50000000.0,0.11127432314220415,0.12127432314220415,0.23233412314220417,1.2323341231422043,1.2323341231422043,0.12105980000000002,"removed",0,0
"10.0.0.181","10.0.0.194","s13","s12",7654428.0,7654428.0,0.0,46934181.03636454,50000000.0,0.0711825517471925,0.08118255174719251,0.2342711117471925,1.2342711117471925,1.2342711117471925,0.16308856,"removed",0,0
