"time","mean","stdev","min","max","q1","q3","median","sDE2","sDE1","sBE","sNO","sNL","sBY","sSI","sBG","sSK","sFI","sSE","sDK","sIS","sUA","sIT","sMT","sUK","sMK","sIE","sME","sMD","sIL","sES","sCH","sGR","sPT","sEE","sCY","sCZ","sFR1","sFR2","sAT","sHR","sHU","sLT","sLU","sLV","sRO","sRS","sTR","sPL"
0.1,0.006487804878048782,0.0061331643494640835,0.006487804878048782,0.03,0.002,0.008,0.004,0.03,0.004,0.002,0.006,0.006,0.004,0.006,0.006,0.01,0.0,0.006,0.012,0.004,0.0,0.016,0.0,0.01,0.002,0.0,0.0,0.002,0.006,0.002,0.018,0.004,0.002,0.002,0.008,0.012,0.004,0.004,0.018,0.004,0.016,0.002,0.006,0.002,0.006,0.004,0.012,0.008
0.2,0.014390243902439028,0.012098937765872786,0.014390243902439028,0.06,0.006,0.018,0.01,0.06,0.01,0.006,0.008,0.018,0.004,0.008,0.016,0.018,0.006,0.014,0.028,0.012,0.004,0.032,0.004,0.03,0.004,0.004,0.0,0.002,0.01,0.008,0.036,0.008,0.008,0.006,0.016,0.022,0.016,0.01,0.04,0.004,0.03,0.008,0.01,0.008,0.014,0.008,0.024,0.016
0.3,0.022341463414634156,0.017877100430708476,0.022341463414634156,0.092,0.01,0.026,0.018,0.092,0.016,0.01,0.018,0.034,0.004,0.008,0.022,0.026,0.01,0.022,0.052,0.022,0.006,0.046,0.006,0.042,0.006,0.008,0.002,0.004,0.012,0.012,0.046,0.016,0.01,0.016,0.02,0.032,0.02,0.014,0.052,0.004,0.05,0.018,0.018,0.018,0.022,0.014,0.04,0.026
0.4,0.02965853658536587,0.02437472677129922,0.02965853658536587,0.128,0.012,0.036,0.024,0.128,0.022,0.012,0.02,0.042,0.004,0.008,0.028,0.034,0.01,0.024,0.07,0.036,0.006,0.056,0.01,0.062,0.008,0.008,0.004,0.008,0.02,0.02,0.064,0.024,0.014,0.016,0.03,0.04,0.03,0.022,0.062,0.004,0.066,0.026,0.024,0.022,0.028,0.014,0.056,0.034
0.5,0.036926829268292695,0.031031369057072176,0.036926829268292695,0.164,0.014,0.042,0.03,0.164,0.026,0.018,0.024,0.05,0.004,0.014,0.03,0.036,0.012,0.032,0.086,0.044,0.008,0.076,0.012,0.082,0.008,0.012,0.004,0.01,0.024,0.032,0.092,0.03,0.024,0.018,0.036,0.042,0.042,0.03,0.072,0.008,0.076,0.028,0.028,0.024,0.032,0.014,0.07,0.04
0.6,0.043853658536585384,0.036887145606638555,0.043853658536585384,0.196,0.02,0.052,0.032,0.196,0.03,0.026,0.028,0.068,0.006,0.014,0.038,0.044,0.02,0.04,0.104,0.052,0.008,0.084,0.014,0.1,0.01,0.014,0.006,0.01,0.028,0.036,0.108,0.032,0.026,0.022,0.04,0.048,0.052,0.036,0.084,0.008,0.09,0.032,0.03,0.028,0.036,0.02,0.08,0.05
0.7,0.0500487804878049,0.04197673642568958,0.0500487804878049,0.224,0.022,0.06,0.036,0.224,0.032,0.028,0.032,0.072,0.006,0.018,0.044,0.052,0.02,0.048,0.116,0.054,0.01,0.092,0.014,0.11,0.01,0.016,0.006,0.012,0.034,0.04,0.12,0.032,0.032,0.024,0.046,0.06,0.056,0.038,0.1,0.014,0.11,0.036,0.036,0.032,0.05,0.022,0.092,0.062
0.8,0.0571219512195122,0.048089446700888765,0.0571219512195122,0.252,0.022,0.068,0.042,0.252,0.042,0.032,0.038,0.086,0.01,0.018,0.052,0.064,0.022,0.058,0.134,0.058,0.012,0.108,0.014,0.122,0.01,0.02,0.006,0.014,0.036,0.044,0.144,0.04,0.034,0.026,0.048,0.068,0.068,0.044,0.116,0.014,0.124,0.038,0.04,0.034,0.056,0.022,0.104,0.07
0.9,0.0644390243902439,0.05330723136799881,0.0644390243902439,0.28,0.026,0.074,0.046,0.28,0.044,0.038,0.038,0.094,0.012,0.02,0.064,0.07,0.026,0.062,0.148,0.066,0.016,0.126,0.016,0.136,0.012,0.02,0.008,0.014,0.04,0.054,0.16,0.042,0.046,0.034,0.056,0.074,0.072,0.054,0.132,0.018,0.14,0.044,0.046,0.042,0.064,0.022,0.114,0.078
1.0,0.07121951219512195,0.05903595935803044,0.07121951219512195,0.31,0.026,0.088,0.05,0.31,0.048,0.042,0.038,0.102,0.016,0.026,0.072,0.084,0.026,0.062,0.164,0.066,0.016,0.142,0.016,0.144,0.012,0.02,0.01,0.014,0.042,0.058,0.172,0.048,0.05,0.044,0.062,0.088,0.076,0.06,0.15,0.024,0.16,0.048,0.048,0.048,0.068,0.026,0.126,0.092
1.1,0.07424390243902439,0.06100491003341947,0.07424390243902439,0.318,0.028,0.092,0.056,0.318,0.044,0.048,0.034,0.104,0.012,0.026,0.074,0.09,0.028,0.062,0.168,0.072,0.018,0.148,0.018,0.152,0.012,0.02,0.012,0.018,0.042,0.06,0.172,0.052,0.052,0.048,0.064,0.092,0.078,0.06,0.158,0.028,0.17,0.056,0.048,0.052,0.076,0.024,0.136,0.098
1.2,0.07619512195121951,0.06352998889028522,0.07619512195121951,0.33,0.034,0.092,0.056,0.33,0.04,0.048,0.034,0.106,0.012,0.03,0.088,0.084,0.028,0.06,0.176,0.07,0.018,0.146,0.016,0.142,0.014,0.02,0.016,0.02,0.042,0.06,0.172,0.054,0.048,0.054,0.056,0.092,0.074,0.06,0.162,0.036,0.194,0.06,0.048,0.056,0.082,0.022,0.154,0.1
1.3,0.0761951219512195,0.06335622075149334,0.0761951219512195,0.33,0.032,0.09,0.06,0.33,0.036,0.05,0.032,0.104,0.016,0.032,0.086,0.08,0.022,0.056,0.172,0.072,0.018,0.142,0.022,0.15,0.014,0.018,0.014,0.022,0.042,0.06,0.172,0.046,0.048,0.06,0.06,0.09,0.078,0.062,0.154,0.038,0.196,0.062,0.044,0.058,0.086,0.022,0.156,0.102
1.4,0.07634146341463416,0.06453269534577125,0.07634146341463416,0.328,0.032,0.096,0.058,0.328,0.032,0.05,0.028,0.1,0.022,0.036,0.096,0.082,0.026,0.06,0.174,0.068,0.016,0.148,0.018,0.146,0.014,0.018,0.014,0.02,0.038,0.058,0.182,0.044,0.052,0.066,0.05,0.086,0.076,0.06,0.164,0.04,0.204,0.056,0.04,0.058,0.084,0.02,0.154,0.102
1.5,0.07751219512195119,0.06512244450347567,0.07751219512195119,0.328,0.032,0.1,0.056,0.328,0.032,0.054,0.03,0.106,0.022,0.042,0.1,0.088,0.026,0.06,0.176,0.064,0.02,0.148,0.016,0.142,0.014,0.02,0.014,0.016,0.034,0.052,0.176,0.044,0.046,0.074,0.05,0.096,0.07,0.058,0.172,0.046,0.214,0.056,0.038,0.062,0.086,0.024,0.152,0.11
1.6,0.08034146341463415,0.06737286482651297,0.08034146341463415,0.34,0.034,0.104,0.058,0.34,0.034,0.06,0.032,0.112,0.022,0.04,0.104,0.086,0.024,0.058,0.182,0.066,0.024,0.14,0.016,0.152,0.014,0.02,0.012,0.018,0.042,0.048,0.172,0.042,0.042,0.086,0.058,0.1,0.072,0.058,0.176,0.044,0.224,0.06,0.04,0.07,0.098,0.026,0.166,0.114
1.7,0.07956097560975608,0.06723604172142542,0.07956097560975608,0.33,0.034,0.1,0.056,0.33,0.034,0.062,0.032,0.108,0.022,0.04,0.112,0.084,0.02,0.056,0.182,0.068,0.022,0.142,0.016,0.15,0.018,0.018,0.014,0.026,0.038,0.046,0.166,0.042,0.04,0.084,0.056,0.096,0.07,0.056,0.178,0.046,0.234,0.054,0.038,0.064,0.1,0.022,0.176,0.1
