"time","mean","stdev","min","max","q1","q3","median","throughput","('s9', 's18')","('s9', 's8')","('s9', 's7')","('s9', 's6')","('s9', 's10')","('s8', 's7')","('s8', 's5')","('s3', 's2')","('s3', 's1')","('s3', 's6')","('s2', 's12')","('s2', 's1')","('s1', 's4')","('s7', 's20')","('s7', 's25')","('s6', 's12')","('s6', 's10')","('s6', 's4')","('s5', 's25')","('s5', 's27')","('s5', 's4')","('s19', 's20')","('s19', 's18')","('s19', 's17')","('s19', 's21')","('s18', 's20')","('s18', 's17')","('s13', 's11')","('s13', 's16')","('s13', 's15')","('s13', 's14')","('s12', 's11')","('s11', 's10')","('s11', 's16')","('s10', 's16')","('s17', 's16')","('s17', 's15')","('s17', 's14')","('s15', 's14')","('s30', 's28')","('s30', 's29')","('s30', 's24')","('s22', 's23')","('s22', 's21')","('s22', 's24')","('s23', 's28')","('s23', 's26')","('s23', 's24')","('s20', 's26')","('s20', 's21')","('s26', 's25')","('s27', 's28')","('s27', 's29')","('s27', 's25')","('s25', 's28')","('s28', 's29')"
0.1,0.071870624735564312,0.19436856943331798,0.0,0.76447079536461726,0.0,0.020000000000000014,0.010000000000000009,40247549851.916031,0.030000000000000027,0.020000000000000018,0.030000000000000027,0.020000000000000014,0.010000000000000009,0.009999999999999992,0.25843590186656706,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.020000000000000018,0.7644707953646173,0.7344707953646171,0.010000000000000009,0.0,0.020000000000000014,0.7444707953646171,0.020000000000000018,0.25843590186656706,0.0,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.020000000000000014,0.020000000000000018,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000007,0.010000000000000007,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,0.0,0.0,0.010000000000000009,0.0,0.03000000000000003,0.7644707953646172,0.03000000000000003,0.010000000000000009,0.010000000000000009,0.0,0.010000000000000007,0.010000000000000007
0.2,0.13775631243638201,0.31456510827381629,0.0,0.97999999999999954,0.0,0.02250000000000002,0.010000000000000009,77143534964.373932,0.020000000000000014,0.010000000000000009,0.030000000000000027,0.010000000000000009,0.03000000000000003,0.0,0.9799999999999994,0.0,0.0,0.0,0.0,0.010000000000000009,0.020000000000000014,0.9636626908361875,0.9636626908361875,0.010000000000000009,0.010000000000000009,0.03000000000000003,0.9736626908361875,0.010000000000000009,0.9799999999999995,0.0,0.0,0.879623097803907,0.31003981764436883,0.020000000000000018,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.0,0.0,0.0,0.010000000000000009,0.0,0.020000000000000014,0.010000000000000009,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.3000398176443689,0.0,0.0,0.010000000000000007,0.0,0.030000000000000027,0.9536626908361875,0.03000000000000003,0.0,0.0,0.0,0.020000000000000018,0.020000000000000018
0.3,0.20791674262341481,0.35499353085342045,0.0,1.0000000000000002,0.0,0.20416678393718452,0.010000000000000009,116433375869.11232,0.6666842225419101,0.010780282543929877,0.020000000000000018,0.6759039399979803,0.03000000000000003,0.3633163720767262,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000003,0.9800000000000003,0.1743950185582149,0.010000000000000009,0.1543950185582149,0.9700000000000003,0.010000000000000009,0.626683627923274,0.010000000000000009,0.6659039399979803,1.0000000000000002,0.8958965423194546,0.010000000000000009,0.0,0.010000000000000009,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,0.020000000000000018,0.010000000000000009,0.0,0.010000000000000007,0.0,0.010000000000000009,0.0,0.030000000000000027,0.020000000000000014,0.9258965423194545,0.020000000000000018,0.030000000000000023,0.0,0.010000000000000007,0.2934820800740933,0.9700000000000003,0.0,0.010000000000000007,0.0,0.0,0.0,0.010000000000000007
0.4,0.21638511437793193,0.35964255458411731,0.0,0.99999999999999989,0.0,0.35436651379919526,0.015000000000000012,121175664051.64189,0.9699999999999995,0.02921971745607016,0.020000000000000014,0.9707802825439293,0.0,0.4949999999999997,0.9999999999999999,0.0,0.0,0.020000000000000014,0.0,0.010000000000000007,0.020000000000000014,0.3518665137991953,0.3818665137991953,0.9899999999999995,0.0,0.9899999999999995,0.3518665137991953,0.020000000000000014,0.5149999999999997,0.010000000000000009,0.9507802825439293,0.9999999999999994,0.944660033711742,0.020000000000000018,0.020000000000000014,0.0,0.010000000000000007,0.0,0.0,0.010000000000000007,0.0,0.010000000000000007,0.0,0.020000000000000014,0.0,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000007,0.0,0.0,0.944660033711742,0.020000000000000018,0.0,0.020000000000000018,0.010000000000000009,0.5399999999999999,0.3618665137991953,0.03000000000000003,0.0,0.010000000000000007,0.0,0.020000000000000014,0.0
0.5,0.28591844188320209,0.38834275274333097,0.0,1.0,0.010000000000000009,0.74778760121411647,0.010000000000000009,160114327454.59323,0.7627876012141165,0.0,0.24721239878588347,1.0,0.010000000000000009,0.4949999999999997,0.9999999999999999,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.020000000000000018,0.9276073644142642,0.020000000000000018,0.9899999999999994,0.8003900256316694,0.9899999999999994,0.0,0.030000000000000027,0.5149999999999997,0.03000000000000003,0.7427876012141165,0.20037690219609214,0.8994036063244323,0.9476073644142642,0.9476073644142642,0.0,0.0,0.010000000000000009,0.0,0.020000000000000014,0.0,0.010000000000000009,0.8003900256316694,0.8103900256316694,0.8303900256316694,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.0,0.8994036063244323,0.0,0.010000000000000009,0.03000000000000003,0.010000000000000009,0.5399999999999996,0.0,0.010000000000000009,0.0,0.34507883363078173,0.010000000000000009,0.010000000000000009,0.0
0.6,0.27050604880234902,0.39044771537258482,0.0,1.0000000000000002,0.0017802497329863498,0.56249874851876902,0.020000000000000018,151483387329.31543,0.5161868331553242,0.010000000000000007,0.6068311560863505,1.0000000000000002,0.1330179892416748,0.7951195297898408,0.9999999999999997,0.0,0.0,0.020000000000000018,0.0,0.0,0.010000000000000009,0.9799999999999998,0.1230179892416748,0.9079786477524363,0.9899999999999998,0.8956049814417878,0.03000000000000003,0.010000000000000009,0.22488047021015864,0.010000000000000009,0.496186833155324,0.010000000000000009,0.0023736663106484666,0.9899999999999997,0.9699999999999998,0.020000000000000018,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,0.0,0.9899999999999999,0.9799999999999998,0.9699999999999998,0.010000000000000009,0.0,0.020000000000000018,0.010000000000000009,0.0,0.020000000000000018,0.020000000000000018,0.0,0.020000000000000018,0.010000000000000009,0.0,0.5579361733852135,0.010000000000000009,0.14301798924167478,0.0,0.5761864739194357,0.020000000000000018,0.020000000000000018,0.0
0.7,0.2651145127096225,0.38086037854654603,0.0,1.0000000000000002,0.010000000000000009,0.5138131668446756,0.020000000000000014,148464127117.38867,0.1843413430886505,0.010000000000000009,1.0000000000000002,0.6905281762439747,0.5038131668446756,0.8615640981334337,0.8615640981334337,0.0,0.010000000000000007,0.0,0.020000000000000014,0.020000000000000018,0.020000000000000014,0.9899999999999997,0.5138131668446756,0.027626333689351558,1.0000000000000002,0.020000000000000014,0.0,0.4158794954503265,0.4258794954503265,0.010000000000000009,0.17434134308865049,0.010000000000000009,0.017626333689351553,0.9699999999999996,0.9799999999999996,0.020000000000000014,0.0,0.010000000000000009,0.020000000000000018,0.020000000000000014,0.020000000000000014,0.0,0.9899999999999999,0.9799999999999999,0.9799999999999999,0.020000000000000014,0.0,0.010000000000000009,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.010000000000000009,0.0,0.544742998787014,0.010000000000000009,0.5138131668446757,0.010000000000000009,0.9008794954503263,0.020000000000000014,0.020000000000000018,0.0
0.8,0.1577280478198313,0.27066900386196591,0.0,0.99999999999999978,0.0,0.26460997436833228,0.010000000000000009,88327706779.10553,0.0,0.0,0.9999999999999998,0.5,0.49,0.0,0.010000000000000009,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,0.13239263558573636,0.5,0.020000000000000018,0.2796099743683323,0.050000000000000044,0.020000000000000018,0.5249999999999999,0.5550000000000002,0.010000000000000007,0.0,0.04000000000000003,0.030000000000000027,0.8159690724257438,0.8159690724257438,0.0,0.010000000000000009,0.0,0.0,0.0,0.010000000000000007,0.0,0.2796099743683323,0.2596099743683323,0.2796099743683323,0.030000000000000023,0.0,0.0,0.010000000000000009,0.010000000000000009,0.020000000000000018,0.040000000000000036,0.030000000000000027,0.0,0.020000000000000018,0.0,0.5,0.0,0.5099999999999999,0.010000000000000009,0.9999999999999998,0.0,0.0,0.0
0.9,0.13631854906702998,0.28334144165369829,0.0,1.0,0.0,0.040000000000000029,0.010000000000000009,76338387477.536789,0.010000000000000009,0.010000000000000009,0.9999999999999991,0.5,0.49,0.03000000000000003,0.010000000000000009,0.0,0.010000000000000009,0.020000000000000014,0.0,0.0,0.010000000000000007,0.04000000000000003,0.51,0.010000000000000009,0.0,0.010000000000000007,0.0,0.505,0.505,0.020000000000000018,0.010000000000000009,0.040000000000000036,0.040000000000000036,1.0,1.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.0,0.020000000000000018,0.0,0.03000000000000003,0.020000000000000018,0.010000000000000009,0.0,0.0,0.0,0.0,0.010000000000000009,0.040000000000000036,0.03000000000000003,0.0,0.0,0.0,0.18383874775368067,0.0,0.48,0.0,0.9999999999999998,0.010000000000000007,0.010000000000000007,0.0
1.0,0.13517857142857137,0.2847695877586735,0.0,0.99999999999999967,0.0,0.02250000000000002,0.010000000000000009,75699999999.999985,0.020000000000000018,0.0,0.9999999999999997,0.5299999999999999,0.5,0.0,0.020000000000000018,0.0,0.010000000000000007,0.0,0.010000000000000009,0.020000000000000018,0.030000000000000023,0.020000000000000014,0.52,0.020000000000000014,0.010000000000000009,0.020000000000000018,0.030000000000000023,0.525,0.5350000000000001,0.0,0.0,0.0,0.0,0.99,0.9799999999999999,0.010000000000000009,0.0,0.0,0.0,0.020000000000000018,0.010000000000000007,0.020000000000000018,0.010000000000000009,0.020000000000000018,0.010000000000000009,0.0,0.0,0.03000000000000003,0.010000000000000007,0.010000000000000007,0.020000000000000018,0.0,0.0,0.020000000000000018,0.010000000000000009,0.010000000000000009,0.0,0.0,0.5,0.010000000000000009,0.9999999999999991,0.0,0.05000000000000004,0.010000000000000009
