"src_ip","dst_ip","src_node","dst_node","flow_size","bytes_sent","bytes_left","avg_rate","curr_rate","arrive_time","install_time","end_time","remove_time","update_time","duration","status","resend","reroute"
10.0.1.146,10.0.0.115,"s27","s5",7540121.0,7540121.0,0.0,429878505.3991361,1000000000.0,0.0,0.01,0.017540121,0.017540121,0.017540121,0.017540121,"removed",0.0,0.0
10.0.0.162,10.0.1.146,"s18","s27",10749471.0,10749471.0,0.0,518060002.58994544,1000000000.0,0.010534153672579443,0.020534153672579443,0.031283624672579446,0.031283624672579446,0.031283624672579446,0.020749471000000005,"removed",0.0,0.0
10.0.0.55,10.0.0.74,"s2","s1",8676061.0,8676061.0,0.0,464555186.449648,1000000000.0,0.020736812755295576,0.03073681275529558,0.03941287375529558,0.03941287375529558,0.03941287375529558,0.018676061,"removed",0.0,0.0
10.0.1.58,10.0.1.130,"s30","s26",10115097.0,10115097.0,0.0,502860960.6008862,1000000000.0,0.03142336164550567,0.04142336164550566,0.05153845864550566,0.05153845864550566,0.05153845864550566,0.02011509699999999,"removed",0.0,0.0
10.0.1.153,10.0.0.90,"s27","s7",8540840.0,8540840.0,0.0,460650110.78246737,1000000000.0,0.041636864748111124,0.05163686474811112,0.06017770474811112,0.06017770474811112,0.06017770474811112,0.018540839999999996,"removed",0.0,0.0
10.0.0.198,10.0.1.180,"s12","s25",6296408.0,6296408.0,0.0,386367842.5331523,1000000000.0,0.05078982728315858,0.06078982728315858,0.06708623528315857,0.06708623528315857,0.06708623528315857,0.01629640799999999,"removed",0.0,0.0
10.0.1.50,10.0.1.216,"s30","s29",17016696.0,17016696.0,0.0,629858514.1573197,1000000000.0,0.06052947823093408,0.07052947823093408,0.08754617423093408,0.08754617423093408,0.08754617423093408,0.027016696,"removed",0.0,0.0
10.0.1.88,10.0.0.35,"s23","s3",5851251.0,5851251.0,0.0,369134966.0667159,1000000000.0,0.07143015835924968,0.08143015835924969,0.08728140935924969,0.08728140935924969,0.08728140935924969,0.01585125100000001,"removed",0.0,0.0
10.0.1.200,10.0.0.39,"s28","s3",11537776.0,11537776.0,0.0,515622257.5583606,500000000.0,0.08225067495814062,0.09225067495814063,0.10462708681948099,0.10462708681948099,0.10462708681948099,0.022376411861340373,"removed",0.0,0.0
10.0.0.65,10.0.0.17,"s1","s8",9468569.0,9468569.0,0.0,459214851.36003846,500000000.0,0.09294981509680025,0.10294981509680026,0.11356885425016673,0.11356885425016673,0.11356885425016673,0.020619039153366478,"removed",0.0,0.0
10.0.1.99,10.0.0.200,"s20","s12",12755521.0,12755521.0,0.0,552968506.2946644,1000000000.0,0.10294518566611452,0.11294518566611453,0.12601254095814063,0.12601254095814063,0.12601254095814063,0.02306735529202611,"removed",0.0,0.0
10.0.1.131,10.0.1.182,"s26","s25",10834653.0,10834653.0,0.0,520030403.19413984,1000000000.0,0.11307769985925908,0.1230776998592591,0.1339123528592591,0.1339123528592591,0.1339123528592591,0.02083465300000001,"removed",0.0,0.0
10.0.0.182,10.0.1.217,"s13","s29",10969875.0,10969875.0,0.0,495233792.2241175,500000000.0,0.12305858956771644,0.13305858956771643,0.14520949116660328,0.14520949116660328,0.14520949116660328,0.022150901598886844,"removed",0.0,0.0
10.0.1.148,10.0.0.182,"s27","s13",13066014.0,13066014.0,0.0,538870463.2514964,1000000000.0,0.13284743796882958,0.1428474379688296,0.15709447856771644,0.15709447856771644,0.15709447856771644,0.024247040598886854,"removed",0.0,0.0
10.0.0.248,10.0.0.161,"s17","s18",15153871.0,15153871.0,0.0,602446875.8705165,1000000000.0,0.1419794601715851,0.15197946017158512,0.16713333117158513,0.16713333117158513,0.16713333117158513,0.025153871000000022,"removed",0.0,0.0
10.0.1.199,10.0.1.151,"s28","s27",6369911.0,6369911.0,0.0,389123129.6248339,1000000000.0,0.15284635629487664,0.16284635629487665,0.16921626729487665,0.16921626729487665,0.16921626729487665,0.016369911000000015,"removed",0.0,0.0
10.0.1.154,10.0.0.218,"s27","s11",1147114109.0,1147114109.0,0.0,339843642.1001086,166666666.66666666,0.1632212733541892,0.17322127335418921,3.538638573825833,3.538638573825833,3.538638573825833,3.3754173004716437,"removed",0.0,0.0
10.0.0.121,10.0.0.244,"s5","s17",16045916.0,16045916.0,0.0,616062648.7469282,1000000000.0,0.17414287875968035,0.18414287875968036,0.20018879475968035,0.20018879475968035,0.20018879475968035,0.026045916000000002,"removed",0.0,0.0
10.0.1.82,10.0.1.17,"s23","s15",6866090.0,6866090.0,0.0,407094353.22591066,1000000000.0,0.18424641219874696,0.19424641219874697,0.20111250219874696,0.20111250219874696,0.20111250219874696,0.01686609,"removed",0.0,0.0
10.0.0.106,10.0.0.54,"s6","s2",5160544.0,5160544.0,0.0,340393062.41253614,1000000000.0,0.19425988208548484,0.20425988208548485,0.20942042608548483,0.20942042608548483,0.20942042608548483,0.015160543999999998,"removed",0.0,0.0
10.0.0.81,10.0.0.4,"s7","s9",737059315.0,737059315.0,0.0,670248309.2195904,1000000000.0,0.20348037845946187,0.21348037845946188,1.3031613546907956,1.3031613546907956,1.3031613546907956,1.0996809762313338,"removed",0.0,0.0
10.0.1.137,10.0.1.23,"s26","s15",17551090.0,17551090.0,0.0,637037953.8522795,1000000000.0,0.21417243297622912,0.22417243297622913,0.24172352297622912,0.24172352297622912,0.24172352297622912,0.02755109,"removed",0.0,0.0
10.0.1.183,10.0.0.217,"s25","s11",6466315.0,6466315.0,0.0,392699580.9323456,1000000000.0,0.22479698689242064,0.23479698689242065,0.24126330189242065,0.24126330189242065,0.24126330189242065,0.01646631500000001,"removed",0.0,0.0
10.0.0.49,10.0.0.147,"s2","s19",16562894.0,16562894.0,0.0,623534995.8479668,1000000000.0,0.23557109411846963,0.24557109411846964,0.26213398811846966,0.26213398811846966,0.26213398811846966,0.02656289400000003,"removed",0.0,0.0
10.0.0.8,10.0.1.50,"s9","s30",6621128.0,6621128.0,0.0,262868332.28407335,333333333.3333333,0.2455285014571827,0.2555285014571827,0.2707165031554807,0.2707165031554807,0.2707165031554807,0.02518800169829799,"removed",0.0,0.0
10.0.0.147,10.0.1.218,"s19","s29",12618811.0,12618811.0,0.0,309802375.579194,333333333.3333333,0.25487926606058675,0.26487926606058676,0.2956110744478155,0.2956110744478155,0.2956110744478155,0.04073180838722873,"removed",0.0,0.0
10.0.0.21,10.0.0.196,"s8","s12",14561751.0,14561751.0,0.0,592862902.9746287,1000000000.0,0.2650658788552904,0.27506587885529044,0.28962762985529045,0.28962762985529045,0.28962762985529045,0.02456175100000002,"removed",0.0,0.0
10.0.1.50,10.0.0.242,"s30","s17",11098884.0,11098884.0,0.0,310491221.5050349,500000000.0,0.2749657523810232,0.28496575238102323,0.31071196106995397,0.31071196106995397,0.31071196106995397,0.03574620868893075,"removed",0.0,0.0
10.0.1.6,10.0.1.26,"s16","s15",13633146.0,13633146.0,0.0,576865475.2947408,1000000000.0,0.28565681790887293,0.29565681790887294,0.3092899639088729,0.3092899639088729,0.3092899639088729,0.023633145999999994,"removed",0.0,0.0
10.0.1.163,10.0.1.72,"s24","s22",15005199.0,15005199.0,0.0,431350763.9413678,1000000000.0,0.2948445825064863,0.30484458250648633,0.32963111878822016,0.32963111878822016,0.32963111878822016,0.03478653628173384,"removed",0.0,0.0
10.0.0.6,10.0.1.50,"s9","s30",6847648.0,6847648.0,0.0,288987653.9208453,500000000.0,0.3041071811756629,0.3141071811756629,0.3278024771756629,0.3278024771756629,0.3278024771756629,0.023695296000000032,"removed",0.0,0.0
10.0.1.115,10.0.0.23,"s21","s8",10955440.0,10955440.0,0.0,328961528.7400298,333333333.3333333,0.3142768571056266,0.3242768571056266,0.3475799610945973,0.3475799610945973,0.3475799610945973,0.03330310398897074,"removed",0.0,0.0
10.0.1.4,10.0.1.40,"s16","s14",14655931.0,14655931.0,0.0,594418073.2822455,1000000000.0,0.3239968815711145,0.3339968815711145,0.3486528125711145,0.3486528125711145,0.3486528125711145,0.02465593100000002,"removed",0.0,0.0
10.0.1.180,10.0.0.83,"s25","s7",5297884.0,5297884.0,0.0,240944421.0575228,500000000.0,0.33340328912768513,0.34340328912768514,0.35539128111665585,0.35539128111665585,0.35539128111665585,0.021987991988970723,"removed",0.0,0.0
10.0.1.70,10.0.1.169,"s22","s24",16672674.0,16672674.0,0.0,625084459.0984764,1000000000.0,0.3437523436080274,0.35375234360802743,0.37042501760802743,0.37042501760802743,0.37042501760802743,0.026672674000000007,"removed",0.0,0.0
10.0.0.83,10.0.1.135,"s7","s26",15673050.0,15673050.0,0.0,373194472.843164,333333333.3333333,0.3545773716946796,0.36457737169467963,0.3965743763142701,0.3965743763142701,0.3965743763142701,0.041997004619590494,"removed",0.0,0.0
10.0.0.177,10.0.0.39,"s13","s3",6105400.0,6105400.0,0.0,379090243.0240791,1000000000.0,0.36363395098556917,0.3736339509855692,0.37973935098556916,0.37973935098556916,0.37973935098556916,0.016105399999999992,"removed",0.0,0.0
10.0.1.132,10.0.0.218,"s26","s11",5084514.0,5084514.0,0.0,252095143.10754052,500000000.0,0.3740096701912452,0.3840096701912452,0.39417869819124524,0.39417869819124524,0.39417869819124524,0.020169028000000033,"removed",0.0,0.0
10.0.0.88,10.0.1.130,"s7","s26",16681340.0,16681340.0,0.0,329524583.9143939,500000000.0,0.3846216624554986,0.3946216624554986,0.4352441070750891,0.4352441070750891,0.4352441070750891,0.05062244461959048,"removed",0.0,0.0
10.0.0.70,10.0.0.106,"s1","s6",6146224.0,6146224.0,0.0,380660146.9173229,1000000000.0,0.3937653331851266,0.4037653331851266,0.40991155718512656,0.40991155718512656,0.40991155718512656,0.016146223999999987,"removed",0.0,0.0
10.0.1.100,10.0.1.180,"s20","s25",6608860.0,6608860.0,0.0,221576191.43730196,333333333.3333333,0.4035229495578188,0.4135229495578188,0.4333495295578188,0.4333495295578188,0.4333495295578188,0.02982657999999999,"removed",0.0,0.0
10.0.0.52,10.0.1.212,"s2","s29",1469178499.0,1469178499.0,0.0,96504542.35914807,35714285.71428571,0.41256479050589473,0.42256479050589474,15.636495841671907,15.636495841671907,15.636495841671907,15.223931051166012,"removed",0.0,0.0
10.0.0.97,10.0.0.168,"s6","s18",9269480.0,9269480.0,0.0,481044636.3887348,1000000000.0,0.42253517557127945,0.43253517557127946,0.44180465557127946,0.44180465557127946,0.44180465557127946,0.019269480000000005,"removed",0.0,0.0
10.0.0.148,10.0.0.134,"s19","s4",15165288.0,15165288.0,0.0,376024582.4408756,500000000.0,0.4331588297093327,0.44315882970933274,0.47348940570933273,0.47348940570933273,0.47348940570933273,0.04033057600000001,"removed",0.0,0.0
10.0.0.201,10.0.1.5,"s12","s16",8631257.0,8631257.0,0.0,316597985.0574307,500000000.0,0.44220784166281535,0.45220784166281536,0.46947035566281536,0.46947035566281536,0.46947035566281536,0.027262514000000015,"removed",0.0,0.0
10.0.0.42,10.0.1.20,"s3","s15",7310158.0,7310158.0,0.0,296915685.40387505,500000000.0,0.4528504825349495,0.46285048253494954,0.47747079853494956,0.47747079853494956,0.47747079853494956,0.02462031600000003,"removed",0.0,0.0
