"src_ip","dst_ip","src_node","dst_node","flow_size","bytes_sent","bytes_left","avg_rate","curr_rate","arrive_time","install_time","end_time","remove_time","update_time","duration","status","resend","reroute"
10.0.0.249,10.0.1.198,"s17","s28",8003930.0,8003930.0,0.0,324245125.43347263,1000000000.0,0.10154098032223292,0.11154098032223293,0.12622579243559873,0.12622579243559873,0.12622579243559873,0.024684812113365803,"removed",0.0,0.0
10.0.1.57,10.0.1.154,"s30","s27",8933418.0,8933418.0,0.0,471833347.7874935,1000000000.0,0.11090707662649642,0.12090707662649643,0.12984049462649644,0.12984049462649644,0.12984049462649644,0.01893341800000002,"removed",0.0,0.0
10.0.0.1,10.0.1.148,"s9","s27",12981490.0,12981490.0,0.0,564867203.9976518,1000000000.0,0.1207754651435035,0.1307754651435035,0.1437569551435035,0.1437569551435035,0.1437569551435035,0.022981490000000007,"removed",0.0,0.0
10.0.0.138,10.0.1.69,"s4","s22",12247887.0,12247887.0,0.0,550519112.2195104,1000000000.0,0.12991079749200235,0.13991079749200236,0.15215868449200237,0.15215868449200237,0.15215868449200237,0.02224788700000002,"removed",0.0,0.0
10.0.1.199,10.0.1.55,"s28","s30",13583442.0,13583442.0,0.0,575973685.2661284,1000000000.0,0.14038898155011925,0.15038898155011926,0.16397242355011926,0.16397242355011926,0.16397242355011926,0.02358344200000001,"removed",0.0,0.0
10.0.1.185,10.0.0.2,"s25","s9",7224466.0,7224466.0,0.0,419430477.55442697,1000000000.0,0.15127795250590648,0.16127795250590649,0.1685024185059065,0.1685024185059065,0.1685024185059065,0.01722446600000002,"removed",0.0,0.0
10.0.1.87,10.0.0.195,"s23","s12",17167017.0,17167017.0,0.0,492474062.60824734,500000000.0,0.1603659594449249,0.1703659594449249,0.19522468258067713,0.19522468258067713,0.19522468258067713,0.03485872313575222,"removed",0.0,0.0
10.0.0.211,10.0.1.50,"s11","s30",16153732.0,16153732.0,0.0,477279447.091459,1000000000.0,0.1698412703091727,0.1798412703091727,0.20368670844492492,0.20368670844492492,0.20368670844492492,0.03384543813575222,"removed",0.0,0.0
10.0.0.195,10.0.0.150,"s12","s19",1491898962.0,1491898962.0,0.0,191870377.45345557,102564102.56410258,0.17987856570739555,0.18987856570739556,7.955435073182912,7.955435073182912,7.955435073182912,7.775556507475517,"removed",0.0,0.0
10.0.0.49,10.0.1.36,"s2","s14",15942303.0,15942303.0,0.0,502515798.0348615,500000000.0,0.1898181930265071,0.1998181930265071,0.2215431717482587,0.2215431717482587,0.2215431717482587,0.03172497872175159,"removed",0.0,0.0
10.0.1.217,10.0.0.185,"s29","s13",1385922750.0,1385922750.0,0.0,213335051.70676556,90909090.9090909,0.19997782030475553,0.20997782030475554,6.696438382748971,6.696438382748971,6.696438382748971,6.4964605624442155,"removed",0.0,0.0
10.0.1.21,10.0.0.131,"s15","s4",1179726579.0,1179726579.0,0.0,187398674.2814901,125000000.0,0.20908540287624094,0.21908540287624095,6.50436248273403,6.50436248273403,6.50436248273403,6.295277079857789,"removed",0.0,0.0
10.0.1.69,10.0.0.242,"s22","s17",11032164.0,11032164.0,0.0,524537750.8467502,1000000000.0,0.21934142371907148,0.22934142371907149,0.2403735877190715,0.2403735877190715,0.2403735877190715,0.02103216400000002,"removed",0.0,0.0
10.0.1.119,10.0.0.138,"s21","s4",17972482.0,17972482.0,0.0,369278722.4831674,333333333.33333343,0.2291170348083083,0.23911703480830832,0.2777861860638866,0.2777861860638866,0.2777861860638866,0.0486691512555783,"removed",0.0,0.0
10.0.1.25,10.0.1.35,"s15","s14",5069819.0,5069819.0,0.0,336422023.3832938,1000000000.0,0.23912256631150203,0.24912256631150204,0.254192385311502,0.254192385311502,0.254192385311502,0.015069818999999984,"removed",0.0,0.0
