"src_ip","dst_ip","src_node","dst_node","flow_size","avg_rate","arrive_time","install_time","end_time","duration","resend","reroute"
10.0.0.165,10.0.0.178,"sSE","sDK",79736795.0,96692537.95770866,0.8855501299910116,0.8955501299910116,1.7101928240826203,0.8246426940916087,0,0
10.0.0.249,10.0.2.23,"sMT","sHU",68919096.0,63629623.03107903,0.6303241321794272,0.6403241321794272,1.7134532270404388,1.0831290948610115,0,0
10.0.1.82,10.0.0.145,"sIL","sFI",52517593.0,240413090.8504992,1.506803706338916,1.5168037063389157,1.7252510164009875,0.21844731006207163,0,0
10.0.2.38,10.0.0.37,"sLT","sBE",92276436.0,81948086.39850488,0.6230778072849752,0.6330778072849752,1.7491130822427021,1.126035274957727,0,0
10.0.0.164,10.0.0.179,"sSE","sDK",92613532.0,99418172.05169925,0.8341942777447774,0.8441942777447774,1.7657496472383876,0.9315553694936102,0,0
10.0.2.41,10.0.0.51,"sLT","sNO",92389624.0,82964488.28324753,0.6584779164200898,0.6684779164200898,1.772082374324709,1.1136044579046191,0,0
10.0.0.87,10.0.0.169,"sBY","sSE",74326939.0,91323255.27385426,0.9666718006893189,0.9766718006893189,1.7805602103513836,0.8138884096620647,0,0
10.0.0.162,10.0.1.154,"sSE","sPT",62417962.0,95642294.67386469,1.132033166097713,1.1420331660977128,1.7846519914076038,0.6526188253098908,0,0
10.0.1.73,10.0.0.231,"sMD","sIT",52054158.0,28971988.14899333,0.021681028515845635,0.03168102851584564,1.8183874793228363,1.7967064508069908,0,0
10.0.1.102,10.0.1.51,"sES","sME",50781373.0,32405130.52250225,0.2804081380704859,0.29040813807048593,1.8474863192472972,1.5670781811768113,0,0
10.0.0.66,10.0.2.70,"sNL","sLV",87720486.0,247935234.82360312,1.555631026699283,1.5656310266992828,1.9094350596855987,0.3538040329863157,0,0
10.0.1.114,10.0.0.21,"sCH","sDE1",63905726.0,42248149.80351212,0.4042524782017717,0.4142524782017717,1.9168802807733172,1.5126278025715454,0,0
10.0.0.250,10.0.2.121,"sMT","sTR",70727797.0,36341556.6023251,0.046005153288987466,0.05600515328898746,1.992201288307456,1.9461961350184684,0,0
