"time","mean","stdev","min","max","q1","q3","median","s9","s8","s3","s2","s1","s7","s6","s5","s4","s19","s18","s13","s12","s11","s10","s17","s16","s15","s14","s30","s22","s23","s20","s21","s26","s27","s24","s25","s28","s29"
0.1,0.004666666666666666,0.006182412330330469,0.004666666666666666,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,0.0,0.0,0.0,0.0,0.0
0.2,0.015333333333333336,0.010561986345169905,0.015333333333333336,0.04,0.01,0.02,0.01,0.04,0.03,0.01,0.0,0.01,0.03,0.01,0.02,0.02,0.02,0.01,0.0,0.0,0.01,0.02,0.02,0.0,0.01,0.0,0.03,0.01,0.01,0.03,0.01,0.01,0.02,0.01,0.02,0.03,0.02
0.3,0.02,0.01570562531918633,0.02,0.05,0.01,0.03,0.02,0.05,0.01,0.01,0.0,0.01,0.05,0.02,0.03,0.02,0.02,0.02,0.01,0.0,0.01,0.03,0.04,0.0,0.02,0.03,0.0,0.02,0.03,0.05,0.01,0.04,0.01,0.0,0.04,0.02,0.0
0.4,0.02333333333333333,0.020709632756012092,0.02333333333333333,0.07,0.01,0.0375,0.02,0.06,0.02,0.01,0.01,0.0,0.06,0.02,0.03,0.01,0.04,0.04,0.04,0.0,0.02,0.03,0.07,0.02,0.05,0.03,0.0,0.01,0.01,0.06,0.01,0.02,0.0,0.0,0.03,0.0,0.0
0.5,0.030333333333333344,0.018526257642120337,0.030333333333333344,0.07,0.02,0.04,0.03,0.07,0.02,0.01,0.0,0.01,0.07,0.03,0.03,0.03,0.05,0.03,0.02,0.01,0.02,0.04,0.05,0.03,0.04,0.01,0.01,0.03,0.04,0.07,0.03,0.04,0.02,0.0,0.03,0.04,0.03
0.6,0.026666666666666675,0.015129074290546956,0.026666666666666675,0.07,0.02,0.04,0.025,0.07,0.02,0.03,0.01,0.02,0.05,0.04,0.04,0.03,0.04,0.02,0.03,0.02,0.02,0.04,0.04,0.02,0.04,0.02,0.0,0.02,0.03,0.04,0.02,0.03,0.01,0.0,0.03,0.02,0.0
0.7,0.03566666666666669,0.023335714164249517,0.03566666666666669,0.1,0.02,0.05,0.03,0.1,0.04,0.02,0.0,0.02,0.08,0.05,0.06,0.05,0.05,0.05,0.02,0.02,0.03,0.06,0.05,0.02,0.04,0.01,0.01,0.02,0.03,0.07,0.02,0.04,0.01,0.0,0.05,0.03,0.02
0.8,0.04400000000000002,0.029844039047465847,0.04400000000000002,0.11,0.02,0.06,0.04,0.11,0.05,0.03,0.0,0.02,0.06,0.07,0.08,0.06,0.11,0.06,0.03,0.02,0.03,0.05,0.08,0.01,0.08,0.04,0.0,0.02,0.04,0.08,0.04,0.04,0.02,0.01,0.05,0.03,0.0
0.9,0.05366666666666669,0.03311428023610895,0.05366666666666669,0.11,0.03,0.08,0.045,0.1,0.05,0.04,0.0,0.03,0.08,0.11,0.11,0.09,0.1,0.07,0.03,0.03,0.03,0.07,0.08,0.04,0.05,0.02,0.02,0.03,0.05,0.11,0.04,0.05,0.01,0.02,0.1,0.04,0.01
1.0,0.05400000000000002,0.031790984046843634,0.05400000000000002,0.13,0.03,0.07,0.055,0.13,0.06,0.02,0.0,0.03,0.1,0.07,0.1,0.07,0.08,0.06,0.05,0.03,0.07,0.08,0.07,0.03,0.07,0.02,0.01,0.03,0.05,0.09,0.04,0.07,0.02,0.03,0.1,0.03,0.01
1.1,0.05600000000000002,0.03158058475287203,0.05600000000000002,0.13,0.03,0.0775,0.055,0.11,0.06,0.02,0.0,0.03,0.1,0.07,0.13,0.08,0.08,0.04,0.04,0.02,0.05,0.08,0.06,0.03,0.05,0.02,0.03,0.05,0.07,0.09,0.03,0.06,0.03,0.06,0.11,0.07,0.01
1.2,0.06166666666666668,0.03856452025142051,0.06166666666666668,0.15,0.03,0.08,0.06,0.15,0.08,0.04,0.01,0.05,0.11,0.11,0.13,0.11,0.08,0.05,0.06,0.02,0.07,0.12,0.07,0.03,0.07,0.03,0.0,0.03,0.06,0.08,0.02,0.06,0.04,0.02,0.1,0.04,0.01
1.3,0.06833333333333334,0.03933474573735316,0.06833333333333334,0.17,0.0325,0.1,0.06,0.17,0.1,0.05,0.03,0.04,0.13,0.11,0.12,0.1,0.1,0.07,0.06,0.04,0.08,0.11,0.1,0.05,0.07,0.02,0.01,0.03,0.06,0.11,0.04,0.06,0.03,0.03,0.09,0.03,0.01
1.4,0.06700000000000002,0.03950949253027682,0.06700000000000002,0.15,0.04,0.1,0.06,0.15,0.07,0.04,0.02,0.04,0.12,0.1,0.14,0.11,0.11,0.06,0.05,0.04,0.06,0.09,0.1,0.04,0.08,0.04,0.0,0.04,0.07,0.12,0.05,0.07,0.03,0.02,0.11,0.04,0.0
1.5,0.07699999999999999,0.043676843597799817,0.07699999999999999,0.18,0.05,0.10750000000000001,0.06,0.18,0.07,0.05,0.03,0.05,0.17,0.13,0.14,0.12,0.11,0.06,0.04,0.04,0.06,0.1,0.09,0.04,0.08,0.03,0.02,0.06,0.06,0.14,0.06,0.07,0.05,0.05,0.13,0.07,0.01
1.6,0.08233333333333333,0.042085891011385546,0.08233333333333333,0.2,0.05,0.11,0.07,0.2,0.07,0.06,0.04,0.07,0.15,0.13,0.13,0.11,0.09,0.08,0.06,0.04,0.09,0.13,0.11,0.05,0.07,0.04,0.02,0.05,0.09,0.15,0.05,0.09,0.05,0.06,0.11,0.07,0.01
1.7,0.08000000000000002,0.04358898943540673,0.08000000000000002,0.2,0.042499999999999996,0.10750000000000001,0.07500000000000001,0.2,0.11,0.03,0.02,0.04,0.14,0.1,0.16,0.09,0.12,0.08,0.07,0.04,0.07,0.12,0.1,0.05,0.08,0.04,0.03,0.05,0.08,0.14,0.06,0.09,0.05,0.04,0.12,0.06,0.02
1.8,0.07700000000000001,0.04009571880720767,0.07700000000000001,0.18,0.042499999999999996,0.1,0.065,0.18,0.09,0.04,0.01,0.04,0.14,0.11,0.15,0.1,0.12,0.05,0.05,0.04,0.06,0.1,0.1,0.06,0.07,0.04,0.04,0.06,0.08,0.13,0.04,0.09,0.05,0.07,0.12,0.05,0.03
1.9,0.07933333333333334,0.043430659933072886,0.07933333333333334,0.21,0.04,0.11499999999999999,0.07,0.21,0.09,0.05,0.01,0.04,0.14,0.12,0.14,0.09,0.13,0.08,0.07,0.04,0.07,0.13,0.12,0.06,0.09,0.04,0.03,0.04,0.07,0.12,0.06,0.06,0.04,0.03,0.1,0.07,0.04
2.0,0.08666666666666667,0.041338709327806665,0.08666666666666667,0.19,0.052500000000000005,0.11,0.08,0.19,0.1,0.04,0.02,0.03,0.15,0.11,0.15,0.08,0.1,0.08,0.05,0.06,0.07,0.14,0.1,0.08,0.05,0.02,0.05,0.08,0.12,0.13,0.07,0.11,0.07,0.06,0.14,0.1,0.05
2.1,0.08133333333333333,0.047098006563146826,0.08133333333333333,0.2,0.05,0.11,0.065,0.2,0.12,0.05,0.02,0.03,0.17,0.11,0.16,0.08,0.11,0.08,0.04,0.03,0.05,0.11,0.08,0.05,0.05,0.02,0.04,0.05,0.11,0.15,0.06,0.11,0.05,0.05,0.14,0.07,0.05
2.2,0.08766666666666668,0.04937498241912485,0.08766666666666668,0.22,0.05,0.12,0.07,0.22,0.13,0.05,0.03,0.05,0.18,0.12,0.17,0.1,0.13,0.07,0.04,0.03,0.06,0.12,0.1,0.05,0.06,0.03,0.03,0.07,0.09,0.16,0.09,0.1,0.07,0.04,0.13,0.07,0.04
2.3,0.083,0.03900000000000001,0.083,0.18,0.05,0.10750000000000001,0.07500000000000001,0.18,0.09,0.05,0.04,0.04,0.15,0.12,0.16,0.11,0.1,0.06,0.06,0.06,0.09,0.12,0.09,0.05,0.06,0.03,0.05,0.05,0.08,0.13,0.07,0.08,0.05,0.05,0.14,0.08,0.05
2.4,0.08833333333333335,0.04619403520898438,0.08833333333333335,0.2,0.052500000000000005,0.1175,0.07500000000000001,0.19,0.11,0.05,0.03,0.05,0.16,0.14,0.2,0.14,0.11,0.06,0.06,0.05,0.09,0.12,0.09,0.05,0.07,0.02,0.04,0.06,0.1,0.12,0.06,0.08,0.06,0.06,0.15,0.09,0.04
2.5,0.09033333333333333,0.048475652537009625,0.09033333333333333,0.22,0.05,0.12,0.07,0.19,0.12,0.04,0.04,0.07,0.16,0.14,0.22,0.15,0.12,0.07,0.04,0.04,0.06,0.12,0.08,0.06,0.05,0.02,0.05,0.07,0.11,0.13,0.07,0.1,0.05,0.07,0.14,0.08,0.05
2.6,0.09599999999999996,0.04882622246293482,0.09599999999999996,0.21,0.052500000000000005,0.13,0.08499999999999999,0.21,0.12,0.03,0.04,0.06,0.17,0.13,0.2,0.15,0.13,0.09,0.07,0.05,0.09,0.13,0.13,0.08,0.08,0.05,0.03,0.06,0.09,0.15,0.08,0.1,0.05,0.04,0.15,0.07,0.05
2.7,0.102,0.0504909232766973,0.102,0.23,0.052500000000000005,0.1375,0.09,0.23,0.09,0.05,0.04,0.07,0.17,0.15,0.18,0.15,0.13,0.11,0.05,0.05,0.07,0.12,0.14,0.09,0.07,0.03,0.04,0.09,0.13,0.16,0.09,0.11,0.06,0.05,0.18,0.11,0.05
2.8,0.09966666666666665,0.05313400250519645,0.09966666666666665,0.25,0.06,0.1175,0.09,0.25,0.1,0.05,0.05,0.06,0.2,0.14,0.2,0.14,0.1,0.09,0.07,0.04,0.09,0.12,0.11,0.05,0.06,0.04,0.05,0.07,0.09,0.14,0.07,0.09,0.1,0.05,0.2,0.1,0.07
2.9,0.11,0.052281290471193745,0.11,0.24,0.07250000000000001,0.1275,0.095,0.24,0.1,0.06,0.06,0.08,0.22,0.14,0.2,0.16,0.1,0.09,0.08,0.04,0.09,0.12,0.13,0.06,0.07,0.06,0.08,0.07,0.09,0.15,0.07,0.1,0.11,0.08,0.23,0.12,0.1
3.0,0.10433333333333335,0.05276888814022479,0.10433333333333335,0.27,0.0625,0.1275,0.095,0.27,0.13,0.08,0.06,0.09,0.22,0.14,0.18,0.14,0.11,0.1,0.07,0.05,0.1,0.12,0.11,0.05,0.08,0.05,0.04,0.06,0.1,0.14,0.06,0.11,0.08,0.05,0.18,0.09,0.07
3.1,0.1096666666666667,0.05776292544145904,0.1096666666666667,0.28,0.0625,0.135,0.1,0.28,0.15,0.06,0.05,0.08,0.2,0.15,0.22,0.14,0.11,0.12,0.07,0.06,0.09,0.12,0.1,0.05,0.06,0.04,0.04,0.08,0.12,0.17,0.09,0.12,0.1,0.04,0.2,0.1,0.08
3.2,0.111,0.05804308744372581,0.111,0.25,0.06,0.1375,0.1,0.25,0.15,0.06,0.06,0.08,0.21,0.13,0.25,0.17,0.12,0.1,0.07,0.04,0.09,0.14,0.12,0.06,0.06,0.05,0.06,0.07,0.11,0.15,0.06,0.11,0.1,0.06,0.21,0.13,0.06
3.3,0.11733333333333333,0.062286078344647416,0.11733333333333333,0.28,0.07,0.145,0.11,0.26,0.16,0.06,0.07,0.09,0.22,0.15,0.28,0.2,0.12,0.11,0.07,0.04,0.09,0.11,0.12,0.04,0.07,0.04,0.07,0.08,0.13,0.16,0.08,0.11,0.12,0.09,0.21,0.11,0.06
3.4,0.11800000000000001,0.06405206215779995,0.11800000000000001,0.29,0.0625,0.145,0.11,0.29,0.17,0.07,0.09,0.1,0.23,0.17,0.26,0.2,0.11,0.12,0.07,0.07,0.1,0.12,0.13,0.05,0.06,0.04,0.06,0.06,0.12,0.15,0.06,0.11,0.11,0.06,0.2,0.11,0.05
