"time","mean","stdev","min","max","q1","q3","median","throughput","('s9', 's18')","('s9', 's8')","('s9', 's7')","('s9', 's6')","('s9', 's10')","('s8', 's7')","('s8', 's5')","('s3', 's2')","('s3', 's1')","('s3', 's6')","('s2', 's12')","('s2', 's1')","('s1', 's4')","('s7', 's20')","('s7', 's25')","('s6', 's12')","('s6', 's10')","('s6', 's4')","('s5', 's25')","('s5', 's27')","('s5', 's4')","('s19', 's20')","('s19', 's18')","('s19', 's17')","('s19', 's21')","('s18', 's20')","('s18', 's17')","('s13', 's11')","('s13', 's16')","('s13', 's15')","('s13', 's14')","('s12', 's11')","('s11', 's10')","('s11', 's16')","('s10', 's16')","('s17', 's16')","('s17', 's15')","('s17', 's14')","('s15', 's14')","('s30', 's28')","('s30', 's29')","('s30', 's24')","('s22', 's23')","('s22', 's21')","('s22', 's24')","('s23', 's28')","('s23', 's26')","('s23', 's24')","('s20', 's26')","('s20', 's21')","('s26', 's25')","('s27', 's28')","('s27', 's29')","('s27', 's25')","('s25', 's28')","('s28', 's29')"
0.1,0.03639232344629083,0.054428834046498134,0.03639232344629083,0.2512924081375219,0.0,0.09102155128820483,0.0,2037970112.9922855,0.05279604871179511,0.0,0.10377670876985018,0.09128025728264898,0.15657275748164526,0.0,0.0,0.0,0.0,0.09128025728264898,0.0,0.10923836464176942,0.2512924081375219,0.0,0.10377670876985018,0.09899941026250247,0.0,0.09899941026250247,0.0,0.0,0.09899941026250247,0.0,0.0,0.09102155128820483,0.09102155128820483,0.05279604871179511,0.0,0.0,0.0,0.0,0.0,0.09899941026250247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09102155128820483,0.09102155128820483,0.0,0.0,0.0,0.05279604871179511,0.004727240748435835,0.0,0.0,0.0,0.0,0.10377670876985018,0.10377670876985018
0.2,0.0619284645959398,0.10354843067972257,0.0619284645959398,0.42894857114835283,0.0,0.0819208036407902,0.0,3467994017.3726296,0.17230173975136764,0.0,0.0,0.07769073740589659,0.09461100234547104,0.0,0.0,0.0,0.07769073740589659,0.07769073740589659,0.0,0.3152489987906504,0.3152489987906504,0.10098775653373526,0.0,0.04767087994676456,0.0,0.04767087994676456,0.11369957235770252,0.3152489987906504,0.42894857114835283,0.0274139034662646,0.09461100234547104,0.0274139034662646,0.0,0.0,0.0,0.04767087994676456,0.0,0.0,0.04767087994676456,0.04767087994676456,0.0,0.0,0.0,0.0,0.0274139034662646,0.0,0.0,0.0,0.0,0.0,0.0,0.10098775653373526,0.0,0.3152489987906504,0.0,0.0,0.0274139034662646,0.10098775653373526,0.10353164005323547,0.3152489987906504,0.0,0.0,0.0,0.0
0.3,0.13767365444191026,0.27182553326396564,0.13767365444191026,0.9965325026124601,0.0,0.1079302698499157,0.0,7709724648.746974,0.1079302698499157,0.1079302698499157,0.0,0.10197253223365343,0.0,0.0,0.1079302698499157,0.0,0.0,0.0,0.006934994775081027,0.8558206423044675,0.8558206423044675,0.0,0.0,0.0,0.0,0.10197253223365343,0.23096169389509008,0.8558206423044675,0.9965325026124601,0.0,0.0,0.12240112909504941,0.12240112909504941,0.0,0.1079302698499157,0.017986904474777687,0.0,0.0,0.0,0.006934994775081027,0.0,0.006934994775081027,0.0,0.006934994775081027,0.0,0.1079302698499157,0.09758907612669121,0.41330517545910517,0.0,0.0,0.0,0.12240112909504941,0.12240112909504941,0.8558206423044675,0.0,0.0,0.0,0.0,0.0,0.8558206423044675,0.0,0.0,0.41330517545910517,0.0
0.4,0.1703549983345656,0.34007586401663525,0.1703549983345656,0.9999999999999997,0.0,0.09969871211822855,0.0,9539879906.735678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.9999999999999997,0.0,0.0,0.02860834486108743,0.01899547130051915,0.0,0.11030655098520525,0.9999999999999997,0.9999999999999997,0.09616276582923632,0.0,0.22764984416745182,0.3261477593063644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01899547130051915,0.18755250864222975,0.0,0.0,0.0,0.8896934490147945,0.0,0.0,0.08312585417076357,0.22172110483489826,0.1385952506641347,0.9999999999999997,0.09616276582923632,0.0,0.09616276582923632,0.0,0.0,0.9999999999999997,0.0,0.0,0.9999999999999997,0.0
0.5,0.1752647601323258,0.32458496852469426,0.1752647601323258,0.996495550985205,0.0,0.1478374281564679,0.030208944548121376,9814826567.41025,0.25009103899425084,0.0,0.037218225826822215,0.04095375580531987,0.1478374281564679,0.0,0.0,0.0,0.0,0.04095375580531987,0.07014621670907717,0.9803170482026544,0.9803170482026544,0.0,0.12739881590647095,0.0,0.07795223977700605,0.0,0.0,0.9803170482026544,0.9803170482026544,0.0,0.02319966326942054,0.07739951892247465,0.09686365221339754,0.1478374281564679,0.07905394756836243,0.0,0.0,0.0,0.0,0.1793010549302021,0.1478374281564679,0.07014621670907717,0.07795223977700605,0.0,0.15645346649083708,0.0,0.0,0.869096735078734,0.0,0.0,0.0,0.07739951892247465,0.0,0.88363541,0.0,0.0,0.1478374281564679,0.0,0.0,0.9803170482026544,0.0,0.0,0.996495550985205,0.09018059007964874
0.6,0.14090676200891986,0.250779732072467,0.14090676200891986,0.938877279947664,0.0,0.120405655770921,0.048299326508867986,7890778672.49951,0.11990485750776916,0.059998086867744105,0.062001279920351385,0.12190805056037644,0.0,0.06010484772012714,0.0,0.09100738327050717,0.0,0.12190805056037644,0.09100738327050717,0.6530988450141457,0.6530988450141457,0.0,0.17889954404119288,0.04780598656612789,0.07645576542904875,0.12426175199517664,0.08340699930438075,0.7009048315802738,0.7843118308846545,0.0,0.05990677064002507,0.0,0.21239573563956418,0.0,0.059998086867744105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07645576542904875,0.0,0.059998086867744105,0.0,0.0,0.5391809374294848,0.0,0.0,0.048299326508867986,0.048299326508867986,0.0,0.9221949700000002,0.0,0.13738979917260538,0.0,0.0,0.0,0.6530988450141457,0.04780598656612789,0.0,0.938877279947664,0.05679341640071435
0.7,0.19572855602920333,0.3175786670579239,0.19572855602920333,0.9999999999999997,0.0,0.1993774783859257,0.021812109234915607,10960799137.635386,0.22256898104273615,0.0,0.03678984768334059,0.09786905809059387,0.1614897706354829,0.0,0.0,0.9999999999999997,0.07490445888195252,0.09786905809059387,0.9999999999999997,0.5459136349858543,0.5459136349858543,0.0,0.0,0.0,0.0,0.0,0.04686516306198266,0.5459136349858543,0.5927787980478371,0.0,0.09786905809059387,0.0,0.024416640827394583,0.06981315688953513,0.9047349728267939,0.0,0.0,0.0,0.0,0.10623074089731954,0.23093066384946181,0.0,0.0,0.0,0.0,0.9047349728267939,0.0,0.8989977590877732,0.0,0.0,0.024416640827394583,0.024416640827394583,0.0,0.9137100033825071,0.19164697750032222,0.01920757764243663,0.19164697750032222,0.0,0.0,0.5459136349858543,0.0,0.0,0.8432366791814057,0.0
0.8,0.24615917353191374,0.39389417476218114,0.24615917353191374,0.9999999999999999,0.0,0.26035051577240775,0.0,13784913717.78717,0.39532380200633666,0.0,0.0,0.22510441303336381,0.0,0.0,0.0,0.9737954495785827,0.0,0.05942989880906635,0.85989297,0.9999999999999997,0.9999999999999997,0.0,0.0,0.0,0.0,0.1656745142242975,0.0,0.9999999999999997,0.9999999999999997,0.0,0.30114890566934743,0.0,0.1656745142242975,0.24675105247342788,0.9999999999999997,0.0994923595949726,0.0,0.0,0.0994923595949726,0.0994923595949726,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.9706899565717099,0.0,0.0,0.0,0.046820559491767,0.046820559491767,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.9999999999999999,0.029310043428290022
0.9,0.21226982702152494,0.32415980480803375,0.21226982702152494,0.9999999999999999,0.0,0.3656596022777242,0.0,11887110313.205397,0.2746031577618135,0.05011823538044746,0.04635618413685983,0.3861274894108635,0.0,0.0,0.0,0.9927502140968039,0.0,0.16302266409680408,0.8297275499999995,0.625261927158586,0.625261927158586,0.0,0.04635618413685983,0.0,0.0,0.0,0.0,0.625261927158586,0.6550483390571543,0.0,0.4223335498691822,0.14964432284141385,0.3588369732333444,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14964432284141385,0.9999999999999999,0.0,0.7762765332209925,0.0,0.0,0.14964432284141385,0.14964432284141385,0.0,0.9212207839295621,0.0,0.0,0.0,0.0,0.0,0.625261927158586,0.0,0.0,0.7936909112199302,0.0710165436547805
1.0,0.25078768805220236,0.3726785711237944,0.25078768805220236,1.0000000000000002,0.0,0.31853426970024573,0.028093529984071223,14044110530.92333,0.16398860151912498,0.0,0.10251147605514822,0.082522131812367,0.02104500634839024,0.0,0.0,0.9325283325907882,0.10399433839567375,0.0,1.0000000000000002,0.8339055018985679,0.9378998402942418,0.0,0.02104500634839024,0.0,0.0,0.082522131812367,0.0,0.9378998402942418,0.9884724274528278,0.16014258387930247,0.184826401850447,0.6748783284018953,0.6995621463730399,0.0,0.81203194956598,0.06747166740921184,0.0,0.0,0.0,0.06747166740921184,0.0,0.0,0.02104500634839024,0.0,0.028093529984071223,0.8907080637385245,0.0,0.9789549936516095,0.0,0.0,0.028093529984071223,0.028093529984071223,0.0,0.861999031882639,0.10076078665891776,0.0,0.19975291679969587,0.0,0.09899213014077812,0.8339055018985679,0.0,0.09899213014077812,0.9999999999999999,0.0
