"src_ip","dst_ip","src_node","dst_node","flow_size","avg_rate","arrive_time","install_time","end_time","duration","resend","reroute"
10.0.2.82,10.0.1.69,"sRO","sMD",51113906.0,695161387.3545041,0.08414231666689309,0.0941423166668931,0.1576704310440715,0.0735281143771784,0,0
10.0.1.2,10.0.1.35,"sUK","sIE",77940827.0,406999674.03569305,0.05829351119591286,0.06829351119591287,0.24979446800789484,0.19150095681198198,0,0
10.0.2.136,10.0.0.89,"sPL","sBY",73185890.0,588762015.4276055,0.15416331946758,0.16416331946758,0.27846802677252835,0.12430470730494836,0,0
10.0.1.65,10.0.2.89,"sMD","sRO",52804138.0,711936619.7328343,0.23941913039160534,0.24941913039160535,0.31358884794288905,0.07416971755128371,0,0
10.0.0.183,10.0.0.146,"sDK","sFI",68981726.0,321351858.64964014,0.11128882972641185,0.12128882972641186,0.3259498753785816,0.21466104565216976,0,0
10.0.1.10,10.0.1.41,"sUK","sIE",93768451.0,452725164.4460668,0.15067697426181148,0.1606769742618115,0.35779700726181196,0.20712003300000048,0,0
10.0.0.169,10.0.0.178,"sSE","sDK",78589623.0,331136505.53165835,0.12305130867110825,0.13305130867110826,0.36038431692346,0.23733300825235176,0,0
10.0.2.52,10.0.1.104,"sLU","sES",83515919.0,118795566.4403989,0.02973322767396569,0.039733227673965685,0.7327554153067078,0.7030221876327422,0,0
10.0.1.215,10.0.1.118,"sFR1","sCH",94320987.0,197829991.95865932,0.3272381773045432,0.3372381773045432,0.8040161727245214,0.47677799541997823,0,0
10.0.0.34,10.0.1.33,"sBE","sIE",54115500.0,56963315.21617461,0.010617263966614665,0.020617263966614667,0.9606234178330599,0.9500061538664453,0,0
10.0.2.17,10.0.1.97,"sHU","sES",62065530.0,323592505.18503773,0.795783343579579,0.805783343579579,0.9875848501209913,0.19180150654141226,0,0
10.0.1.5,10.0.1.38,"sUK","sIE",72452078.0,553479353.4133095,0.857434174386327,0.867434174386327,0.988337120545362,0.13090294615903508,0,0
