"time","mean","stdev","min","max","q1","q3","median","sDE2","sDE1","sBE","sNO","sNL","sBY","sSI","sBG","sSK","sFI","sSE","sDK","sIS","sUA","sIT","sMT","sUK","sMK","sIE","sME","sMD","sIL","sES","sCH","sGR","sPT","sEE","sCY","sCZ","sFR1","sFR2","sAT","sHR","sHU","sLT","sLU","sLV","sRO","sRS","sTR","sPL"
0.1,0.011158536585365858,0.010463315139671369,0.011158536585365858,0.0525,0.005,0.015,0.01,0.0525,0.0025,0.005,0.0025,0.01,0.0,0.01,0.0075,0.015,0.0,0.01,0.03,0.0075,0.0025,0.03,0.005,0.015,0.0025,0.0025,0.005,0.0025,0.01,0.01,0.0325,0.01,0.005,0.015,0.01,0.015,0.015,0.01,0.03,0.0075,0.015,0.0075,0.0075,0.005,0.0125,0.0,0.005,0.0175
0.2,0.02615853658536585,0.021997072705578692,0.02615853658536585,0.12,0.0125,0.03,0.02,0.12,0.0075,0.01,0.0225,0.0275,0.005,0.025,0.0175,0.0275,0.01,0.03,0.0775,0.0125,0.005,0.05,0.01,0.045,0.0025,0.0125,0.0075,0.005,0.02,0.025,0.06,0.0175,0.0175,0.025,0.0225,0.0275,0.035,0.02,0.05,0.0175,0.0525,0.0175,0.015,0.015,0.03,0.0075,0.0325,0.035
0.3,0.039451219512195115,0.0339319269898498,0.039451219512195115,0.1775,0.0175,0.05,0.0325,0.1775,0.0125,0.02,0.0375,0.0425,0.01,0.0375,0.025,0.0275,0.015,0.05,0.12,0.02,0.01,0.0825,0.0125,0.07,0.0075,0.015,0.0125,0.01,0.0325,0.035,0.1025,0.0175,0.025,0.0325,0.035,0.0375,0.055,0.0325,0.08,0.0225,0.0775,0.02,0.02,0.0225,0.05,0.01,0.045,0.05
0.4,0.05024390243902437,0.044556776872421704,0.05024390243902437,0.2375,0.0225,0.0575,0.0375,0.2375,0.0225,0.0225,0.04,0.0575,0.01,0.0375,0.0325,0.04,0.02,0.0575,0.1575,0.0275,0.02,0.11,0.0125,0.085,0.0075,0.015,0.015,0.01,0.0475,0.0375,0.13,0.0325,0.03,0.045,0.045,0.06,0.065,0.0425,0.0975,0.025,0.095,0.025,0.0225,0.025,0.0525,0.015,0.0575,0.0725
0.5,0.06237804878048782,0.05517696369883007,0.06237804878048782,0.3025,0.0275,0.07,0.045,0.3025,0.0225,0.0225,0.045,0.065,0.0225,0.045,0.045,0.055,0.025,0.065,0.1825,0.0325,0.0275,0.135,0.0125,0.105,0.0125,0.0275,0.0175,0.0175,0.065,0.0425,0.1525,0.045,0.0325,0.0525,0.0475,0.08,0.07,0.05,0.125,0.0325,0.1225,0.0275,0.0325,0.0275,0.0675,0.0175,0.0825,0.1
0.6,0.07475609756097562,0.06659351777133575,0.07475609756097562,0.37,0.0325,0.085,0.0525,0.37,0.03,0.0275,0.06,0.0825,0.025,0.0475,0.0525,0.0675,0.0275,0.0725,0.215,0.04,0.0325,0.155,0.0125,0.125,0.0125,0.0325,0.0225,0.0225,0.085,0.0475,0.175,0.0525,0.0425,0.0575,0.0575,0.105,0.0825,0.055,0.1425,0.04,0.155,0.0325,0.04,0.03,0.085,0.0225,0.1025,0.1225
0.7,0.09310975609756096,0.0806769765110524,0.09310975609756096,0.4475,0.0425,0.105,0.065,0.4475,0.03,0.035,0.09,0.1,0.035,0.06,0.065,0.09,0.0425,0.1025,0.265,0.0525,0.04,0.195,0.02,0.1575,0.02,0.04,0.03,0.0275,0.105,0.055,0.215,0.0625,0.0475,0.0725,0.075,0.13,0.0975,0.065,0.185,0.05,0.1775,0.045,0.05,0.045,0.1,0.0225,0.12,0.1525
0.8,0.1121951219512195,0.09514461893764674,0.1121951219512195,0.5275,0.0475,0.1275,0.0775,0.5275,0.045,0.0475,0.1075,0.1275,0.04,0.0675,0.0825,0.11,0.0525,0.12,0.3075,0.0625,0.045,0.2425,0.04,0.1825,0.03,0.0475,0.035,0.0375,0.11,0.0675,0.2575,0.0725,0.0475,0.0775,0.0925,0.155,0.1125,0.085,0.2275,0.06,0.215,0.0575,0.055,0.055,0.1275,0.03,0.15,0.1875
0.9,0.1275609756097561,0.10786804241599057,0.1275609756097561,0.595,0.0575,0.1475,0.0875,0.595,0.0525,0.0575,0.1175,0.1475,0.0425,0.075,0.0975,0.1275,0.0575,0.1425,0.3475,0.0675,0.0525,0.28,0.0425,0.2125,0.035,0.05,0.04,0.045,0.1275,0.0725,0.295,0.0875,0.05,0.085,0.11,0.175,0.135,0.095,0.255,0.065,0.2525,0.06,0.07,0.06,0.1425,0.04,0.1675,0.2
1.0,0.1445731707317073,0.12185795213978672,0.1445731707317073,0.6775,0.0625,0.17,0.0975,0.6775,0.055,0.06,0.125,0.17,0.045,0.0925,0.1125,0.15,0.0625,0.155,0.3875,0.075,0.0575,0.315,0.0525,0.24,0.045,0.065,0.045,0.05,0.135,0.0925,0.335,0.0975,0.06,0.095,0.1225,0.195,0.14,0.1225,0.295,0.0725,0.2825,0.075,0.0775,0.0675,0.165,0.0475,0.185,0.2275
1.1,0.14810975609756097,0.12423887849304181,0.14810975609756097,0.69,0.0625,0.1725,0.1,0.69,0.06,0.06,0.13,0.1725,0.045,0.095,0.1125,0.155,0.0625,0.1575,0.3975,0.0775,0.0575,0.3225,0.055,0.245,0.045,0.0675,0.0475,0.05,0.135,0.095,0.34,0.1,0.0625,0.0975,0.125,0.205,0.1425,0.125,0.3025,0.075,0.2925,0.08,0.0775,0.0725,0.17,0.0525,0.185,0.2325
1.2,0.15048780487804878,0.1263539110074902,0.15048780487804878,0.7025,0.0675,0.1725,0.1025,0.7025,0.06,0.0575,0.135,0.1725,0.0475,0.095,0.115,0.16,0.0675,0.1625,0.4075,0.08,0.0575,0.3275,0.0575,0.245,0.0475,0.07,0.0475,0.05,0.1375,0.095,0.345,0.1,0.0625,0.1025,0.1275,0.2125,0.14,0.13,0.3075,0.075,0.2925,0.0825,0.075,0.075,0.17,0.0525,0.185,0.2375
1.3,0.1497560975609756,0.12648122978216964,0.1497560975609756,0.7025,0.07,0.175,0.1,0.7025,0.0575,0.0575,0.1325,0.175,0.0475,0.0925,0.1125,0.16,0.07,0.165,0.4075,0.08,0.0575,0.325,0.0575,0.245,0.0475,0.07,0.0475,0.05,0.135,0.0925,0.3475,0.0975,0.0625,0.1,0.1225,0.21,0.14,0.13,0.3075,0.07,0.29,0.08,0.08,0.0725,0.17,0.0525,0.185,0.235
1.4,0.15317073170731713,0.13005630158662607,0.15317073170731713,0.725,0.07,0.185,0.1025,0.725,0.0575,0.06,0.1375,0.185,0.0475,0.095,0.1125,0.1725,0.07,0.1725,0.42,0.08,0.0575,0.3225,0.0575,0.25,0.0475,0.07,0.0475,0.0525,0.14,0.095,0.355,0.09,0.0625,0.1025,0.1275,0.215,0.1425,0.1325,0.31,0.0725,0.2975,0.08,0.0875,0.0725,0.175,0.0525,0.195,0.235
1.5,0.15841463414634147,0.13497826846042094,0.15841463414634147,0.755,0.0725,0.19,0.1025,0.755,0.06,0.06,0.145,0.19,0.0475,0.0975,0.1175,0.1725,0.0725,0.18,0.44,0.0875,0.0575,0.3325,0.0625,0.26,0.0475,0.07,0.05,0.0525,0.1425,0.0975,0.3675,0.09,0.075,0.1025,0.13,0.22,0.1475,0.1375,0.3125,0.075,0.3075,0.09,0.09,0.0775,0.175,0.0525,0.2025,0.245
1.6,0.1594512195121951,0.1366604214511126,0.1594512195121951,0.7675,0.0725,0.1975,0.105,0.7675,0.06,0.065,0.145,0.1975,0.045,0.0975,0.12,0.1725,0.0725,0.18,0.445,0.09,0.055,0.335,0.065,0.2625,0.0475,0.0725,0.05,0.0525,0.145,0.0975,0.37,0.09,0.0725,0.105,0.135,0.22,0.1475,0.135,0.3125,0.075,0.3075,0.09,0.09,0.0775,0.1725,0.0525,0.205,0.24
1.7,0.1616463414634146,0.1388713320914688,0.1616463414634146,0.7775,0.0725,0.1975,0.105,0.7775,0.0625,0.0675,0.1475,0.1975,0.045,0.1,0.12,0.175,0.0725,0.18,0.45,0.09,0.055,0.34,0.065,0.2625,0.0475,0.0725,0.05,0.0525,0.1425,0.0975,0.3775,0.09,0.0725,0.105,0.135,0.2225,0.15,0.1375,0.32,0.075,0.3175,0.095,0.09,0.0775,0.1825,0.055,0.2075,0.2475
1.8,0.16225609756097562,0.14091145472450364,0.16225609756097562,0.7925,0.0725,0.195,0.1075,0.7925,0.06,0.0675,0.14,0.195,0.045,0.1,0.115,0.175,0.07,0.175,0.445,0.0925,0.0525,0.3375,0.0625,0.2675,0.0475,0.075,0.05,0.055,0.145,0.095,0.39,0.0875,0.0725,0.1075,0.1375,0.225,0.1525,0.1425,0.32,0.075,0.32,0.095,0.09,0.0775,0.185,0.0575,0.21,0.2475
1.9,0.16335365853658537,0.1423534866785564,0.16335365853658537,0.805,0.075,0.195,0.1075,0.805,0.06,0.065,0.14,0.195,0.045,0.1,0.115,0.1775,0.07,0.175,0.445,0.0925,0.0575,0.3375,0.0625,0.2725,0.0475,0.0775,0.05,0.055,0.1475,0.095,0.39,0.0875,0.075,0.1075,0.14,0.2275,0.155,0.1425,0.32,0.075,0.32,0.095,0.09,0.0775,0.185,0.0575,0.2125,0.2525
2.0,0.1651829268292683,0.14446114154271356,0.1651829268292683,0.815,0.075,0.1975,0.1125,0.815,0.06,0.065,0.1425,0.1975,0.045,0.1,0.1175,0.18,0.07,0.1775,0.455,0.095,0.0575,0.3375,0.06,0.2775,0.0475,0.08,0.0525,0.055,0.1475,0.095,0.395,0.0875,0.075,0.1125,0.1425,0.23,0.16,0.1425,0.3225,0.075,0.3275,0.095,0.0875,0.0775,0.185,0.0575,0.2175,0.2525
2.1,0.1653658536585366,0.14551690977047757,0.1653658536585366,0.82,0.07,0.195,0.1125,0.82,0.0575,0.065,0.1425,0.195,0.045,0.1025,0.115,0.18,0.0675,0.175,0.4525,0.095,0.0575,0.335,0.06,0.28,0.0475,0.0775,0.0525,0.0575,0.1475,0.09,0.4025,0.08,0.07,0.1125,0.145,0.2325,0.1675,0.14,0.3225,0.0775,0.3275,0.0975,0.0875,0.08,0.19,0.055,0.2175,0.2575
2.2,0.16402439024390242,0.1453956734024104,0.16402439024390242,0.8175,0.0675,0.1925,0.1125,0.8175,0.06,0.065,0.14,0.1925,0.0425,0.1,0.115,0.175,0.065,0.175,0.4525,0.09,0.0575,0.3325,0.0575,0.2775,0.045,0.075,0.0525,0.0575,0.1475,0.09,0.4025,0.075,0.0675,0.1125,0.145,0.2325,0.17,0.14,0.32,0.075,0.3225,0.0975,0.0825,0.08,0.19,0.055,0.2175,0.2575
2.3,0.1670731707317073,0.14779672761879578,0.1670731707317073,0.8325,0.07,0.195,0.115,0.8325,0.06,0.065,0.14,0.195,0.0425,0.1025,0.115,0.1775,0.065,0.1775,0.455,0.0875,0.0575,0.3425,0.06,0.2775,0.045,0.075,0.0575,0.06,0.1475,0.095,0.4075,0.0775,0.07,0.115,0.1475,0.2375,0.175,0.1425,0.3275,0.0775,0.3325,0.1025,0.0875,0.0825,0.195,0.055,0.2225,0.2625
2.4,0.16609756097560976,0.14822223836277293,0.16609756097560976,0.8375,0.07,0.1975,0.1125,0.8375,0.06,0.0675,0.135,0.1875,0.0425,0.095,0.12,0.1725,0.065,0.17,0.445,0.0875,0.0575,0.345,0.06,0.275,0.045,0.0775,0.0575,0.0625,0.145,0.095,0.41,0.075,0.07,0.1125,0.15,0.2375,0.1725,0.1425,0.32,0.07,0.3375,0.105,0.08,0.0825,0.1975,0.0525,0.225,0.265
