"src_ip","dst_ip","src_node","dst_node","flow_size","avg_rate","arrive_time","install_time","end_time","duration","resend","reroute"
10.0.2.53,10.0.0.39,"sLU","sBE",55675633.0,580388643.9801662,0.04832477220813669,0.058324772208136685,0.14425296373543786,0.09592819152730117,0,0
10.0.1.218,10.0.0.162,"sFR1","sSE",75094522.0,481469433.19985634,0.006992547383629866,0.016992547383629868,0.16296199595468489,0.15596944857105502,0,0
10.0.1.84,10.0.0.7,"sIL","sDE2",51516287.0,309034859.99398214,0.03423781543030924,0.04423781543030923,0.20093838442438058,0.16670056899407135,0,0
10.0.0.163,10.0.0.194,"sSE","sIS",57664223.0,369938103.60382545,0.057038612627612784,0.06703861262761278,0.2129139399817094,0.15587532735409662,0,0
10.0.0.22,10.0.2.72,"sDE1","sLV",59954924.0,307373868.8397894,0.028747742613684624,0.03874774261368462,0.22380311354129573,0.1950553709276111,0,0
10.0.1.105,10.0.0.227,"sES","sIT",50030111.0,262530983.20266905,0.03367165899168745,0.04367165899168744,0.22424006501246435,0.1905684060207769,0,0
10.0.0.233,10.0.2.3,"sIT","sHR",65313770.0,326349801.00256777,0.07029246620192287,0.08029246620192287,0.2704267080471817,0.20013424184525885,0,0
10.0.0.116,10.0.0.104,"sBG","sSI",53696559.0,372353594.7299452,0.15232800603619845,0.16232800603619846,0.2965365211680161,0.14420851513181765,0,0
10.0.1.122,10.0.0.245,"sCH","sMT",99487682.0,388405240.2497495,0.040722669326648586,0.05072266932664858,0.2968666954371824,0.25614402611053383,0,0
10.0.2.39,10.0.1.179,"sLT","sCY",60291935.0,242160770.47231463,0.04909183284852736,0.059091832848527356,0.2980666559893918,0.24897482314086444,0,0
10.0.1.131,10.0.1.241,"sGR","sAT",88010020.0,303786938.3283408,0.06219333301081342,0.07219333301081343,0.3519030239023832,0.2897096908915698,0,0
10.0.1.36,10.0.1.134,"sIE","sGR",68229675.0,279691820.07641083,0.14861379277748654,0.15861379277748655,0.39255970074633556,0.24394590796884902,0,0
10.0.1.135,10.0.2.138,"sGR","sPL",51156907.0,163325128.93518007,0.08324216833887599,0.093242168338876,0.3964634548213926,0.3132212864825166,0,0
